Stanford	84 109 203 131
Plumbing	211 109 341 135
&	348 110 369 131
Heating	375 110 482 135
INVOICE	771 110 898 132
123	85 141 115 153
Madison	117 140 185 153
drive,	186 140 229 155
Seattle,	231 140 289 155
WA,	290 140 322 154
7829Q	323 140 376 154
www.plumbingstanford.com	84 163 299 179
990-120-4560	84 192 183 204
BILL	84 276 116 287
TO	115 276 136 287
Invoice	718 276 765 287
No:	766 276 790 287
#INV02081	825 276 895 287
Allen	84 297 121 309
Smith	122 297 164 309
Invoice	707 298 754 309
Date:	755 298 790 309
11/11/18	836 298 897 309
87	84 320 103 331
Private	106 319 156 331
st,	157 320 175 333
Seattle,	176 319 229 333
WA	230 320 258 331
Due	727 317 754 328
Date:	755 317 790 328
12/01/18	837 317 897 328
allen@gmail.com	85 339 205 354
990-302-1898	83 360 182 372
DESCRIPTION	248 405 339 417
QTY/	545 405 578 417
HR	579 405 601 416
UNIT	677 405 711 416
PRICE	712 405 754 416
TOTAL	823 405 869 416
Installed	84 426 139 437
new	140 428 168 438
kitchen	168 426 216 437
sink	217 426 244 437
(hours)	246 426 292 439
3	567 426 577 437
50.00	753 426 790 437
150.00	852 426 897 437
Toto	84 449 115 460
sink	116 449 145 460
1	568 449 576 460
500.00	745 449 790 461
500.00	852 449 897 460
Worcester	84 470 149 482
greenstar	150 471 212 484
magnetic	213 471 273 484
system	274 471 321 484
filter	322 470 352 482
1	568 471 576 482
190.00	745 471 790 482
190.00	852 471 897 482
Nest	85 493 115 504
smart	116 494 155 504
thermostat	156 493 227 505
1	568 493 576 504
250.00	744 493 790 505
250.00	851 493 897 504
Worcester	84 515 149 526
Greenstar	150 515 213 526
30i	214 515 236 526
1	568 515 576 526
1500.00	738 515 790 526
1500.00	845 515 897 526
SUBTOTAL	725 670 790 680
2590.00	844 669 896 680
DISCOUNT	727 693 790 704
50.00	859 693 897 704
SUBTOTAL	630 718 694 728
LESS	695 718 727 728
DISCOUNT	727 718 791 728
2540.00	844 717 897 728
Tank	198 729 234 741
you	235 731 263 743
for	264 728 286 740
your	286 731 319 743
business!	320 728 388 741
TAX RATE	731 741 790 751
12.00%	849 741 896 752
TOTAL	722 765 763 776
TAX	764 765 791 775
304.80	851 765 897 776
Balance	685 795 752 808
Due	755 795 790 809
$	803 794 815 810
2,844.80	815 795 893 810
Terms	83 837 126 848
&	128 837 139 848
Instructions	140 837 217 848
Please	84 853 128 864
pay	129 855 154 867
within	154 853 194 864
20	195 853 213 864
days	214 853 245 866
by	246 853 263 867
PayPal	264 853 308 866
(bob@stanfordplumbing.com)	310 853 496 867
Installed	84 872 140 883
products	140 872 197 885
have	198 872 230 883
5	231 872 241 883
year	241 874 271 886
warranty.	271 873 331 885

East	387 103 448 120
Repair	452 103 546 123
Inc.	549 103 601 120
moosed	249 140 854 198
1912	408 213 452 225
Harvest	456 212 532 225
Lane	535 212 585 226
New	400 230 443 243
York,	447 229 499 244
NY	504 230 537 243
12210	542 230 596 243
Bill	94 303 140 318
To	141 304 168 318
Ship	368 304 417 323
To	421 305 448 318
Invoice	603 302 679 315
Date	684 303 736 315
11/02/2019	816 304 901 315
John	94 334 133 346
Smith	136 334 180 346
John	368 334 406 345
Smith	409 334 454 345
P.O.#	601 333 663 346
2312/2019	819 334 902 346
2	94 351 106 362
Court	109 351 152 363
Square	155 351 210 364
3787	368 351 408 362
Pineview	411 351 480 363
Drive	482 351 524 363
Due	602 359 646 372
Date	651 358 702 372
26/02/2019	815 360 902 371
New	94 368 131 380
York,	133 368 173 381
NY	177 368 203 380
12210	205 368 254 380
Cambridge,	368 368 456 382
MA	460 368 488 380
12210	491 368 539 380
Invoice	415 403 491 416
#	497 404 513 416
US-001	522 404 585 416
QTY	114 444 152 458
DESCRIPTION	291 445 415 456
UNIT	568 444 615 456
PRICE	618 445 674 456
AMOUNT	752 445 835 456
1	128 473 137 484
Front	184 473 224 485
and	227 473 257 484
rear	260 475 292 484
brake	295 473 337 485
cables	341 474 391 485
100.00	623 473 674 485
100.00	841 473 892 484
2	126 497 139 509
New	184 497 219 509
set	222 498 246 509
of	249 497 265 508
pedal	267 497 310 511
arms	313 499 352 509
15.00	631 497 674 509
30.00	848 497 892 509
3	127 521 139 533
Labor	183 521 229 533
3hrs	231 522 265 533
5.00	640 522 674 533
15.00	849 522 892 533
Subtotal	611 566 674 577
145.00	840 566 892 577
Sales	545 597 589 608
Tax	592 597 622 608
6.25%	624 597 673 608
9.06	858 597 892 608
INVOICE	462 641 579 656
TOTAL	583 641 674 656
$154.06	797 639 889 658
JohnSmith	693 716 904 809
Terms	92 862 154 875
of	160 862 182 875
Conditions	187 861 298 876
Payment	93 896 161 910
is	163 896 177 907
due	180 895 210 907
within	212 896 258 907
15	262 896 282 907
days	284 896 322 910
Please	92 929 146 942
make	149 930 191 941
checks	194 930 249 942
payable	252 930 313 944
to:	314 930 336 942
East	338 930 374 941
Repair	377 930 429 943
Inc.	430 930 459 942

